iter	Passed	Remaining
824	1156	245
825	1157	243
826	1158	242
827	1159	240
828	1160	239
829	1161	237
830	1163	236
831	1164	235
832	1165	233
833	1166	232
834	1167	230
835	1168	229
836	1169	227
837	1170	226
838	1171	224
839	1172	223
840	1173	221
841	1174	220
842	1175	218
843	1176	217
844	1177	216
845	1178	214
846	1180	213
847	1181	211
848	1182	210
849	1183	208
850	1184	207
851	1185	205
852	1186	204
853	1187	203
854	1189	201
855	1190	200
856	1191	198
857	1192	197
858	1193	195
859	1194	194
860	1195	192
861	1196	191
862	1197	190
863	1198	188
864	1199	187
865	1200	185
866	1201	184
867	1203	182
868	1204	181
869	1205	180
870	1206	178
871	1207	177
872	1208	175
873	1209	174
874	1210	172
875	1211	171
876	1212	170
877	1213	168
878	1214	167
879	1215	165
880	1216	164
881	1217	162
882	1219	161
883	1220	160
884	1220	158
885	1222	157
886	1223	155
887	1224	154
888	1225	152
889	1226	151
890	1227	150
891	1228	148
892	1229	147
893	1230	145
894	1231	144
895	1232	143
896	1233	141
897	1234	140
898	1235	138
899	1237	137
900	1238	136
901	1239	134
902	1240	133
903	1241	131
904	1242	130
905	1243	129
906	1244	127
907	1245	126
908	1247	124
909	1248	123
910	1249	122
911	1250	120
912	1251	119
913	1252	117
914	1253	116
915	1254	115
916	1255	113
917	1256	112
918	1257	110
919	1258	109
920	1259	108
921	1260	106
922	1261	105
923	1262	103
924	1263	102
925	1264	101
926	1266	99
927	1267	98
928	1268	96
929	1269	95
930	1270	94
931	1271	92
932	1272	91
933	1273	89
934	1274	88
935	1275	87
936	1276	85
937	1277	84
938	1278	83
939	1279	81
940	1280	80
941	1281	78
942	1282	77
943	1283	76
944	1284	74
945	1285	73
946	1286	72
947	1287	70
948	1288	69
949	1289	67
950	1290	66
951	1292	65
952	1293	63
953	1294	62
954	1295	61
955	1296	59
956	1297	58
957	1298	56
958	1299	55
959	1300	54
960	1301	52
961	1302	51
962	1303	50
963	1304	48
964	1305	47
965	1306	45
966	1307	44
967	1309	43
968	1310	41
969	1311	40
970	1312	39
971	1313	37
972	1314	36
973	1315	35
974	1316	33
975	1317	32
976	1318	31
977	1319	29
978	1320	28
979	1322	26
980	1323	25
981	1325	24
982	1326	22
983	1327	21
984	1328	20
985	1330	18
986	1331	17
987	1332	16
988	1333	14
989	1334	13
990	1335	12
991	1336	10
992	1337	9
993	1338	8
994	1339	6
995	1340	5
996	1342	4
997	1343	2
998	1344	1
999	1345	0
